Scottish National Party	47	0.367188	9	0.333333	-0.0338542	0.907801
Labour Party	46	0.359375	7	0.259259	-0.100116	0.721417
Conservative Party	17	0.132812	5	0.185185	0.0523727	1.39434
Liberal Democratic Party	16	0.125	3	0.111111	-0.0138889	0.888889
Scottish Green Party	2	0.015625	3	0.111111	0.0954861	7.11111
